https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume NFLX,Volume USDT,tradecount
1764599400000,2025-12-01,NFLX,106.51,109.34,106.31,109.13,24873400,2714434073.68,0
1764340200000,2025-11-28,NFLX,106.44,107.94,106.24,107.58,15021600,1616023755.51,0
1764167400000,2025-11-26,NFLX,105.74,106.95,105.22,106.14,27951000,2966719122.94,0
1764081000000,2025-11-25,NFLX,106.12,106.30,103.82,104.40,35122600,3666799493.59,0
1763994600000,2025-11-24,NFLX,104.25,108.04,103.32,106.97,62918300,6730370627.80,0
1763735400000,2025-11-21,NFLX,105.13,106.53,103.81,104.31,41232700,4300982836.33,0
1763649000000,2025-11-20,NFLX,111.00,111.10,105.39,105.67,36918500,3901177827.40,0
1763562600000,2025-11-19,NFLX,113.00,113.34,108.61,110.00,31868100,3505491000.00,0
1763476200000,2025-11-18,NFLX,110.29,115.25,109.20,114.09,43440600,4956137894.92,0
1763389800000,2025-11-17,NFLX,110.75,111.85,109.55,110.29,26082700,2876661006.88,0
1763130600000,2025-11-14,NFLX,114.27,114.27,110.72,111.22,47607000,5294707855.57,0
1763044200000,2025-11-13,NFLX,115.85,116.73,114.57,115.42,40144000,4633540772.34,0
1762957800000,2025-11-12,NFLX,113.82,116.43,112.83,115.75,39221000,4539830750.00,0
1762871400000,2025-11-11,NFLX,111.76,113.92,111.28,113.64,27966000,3178168025.48,0
1762785000000,2025-11-10,NFLX,110.67,112.82,110.40,112.01,36929000,4136306642.75,0
1762525800000,2025-11-07,NFLX,109.42,110.82,108.75,110.37,44125000,4869899631.50,0
1762439400000,2025-11-06,NFLX,109.46,110.37,108.51,109.70,36532000,4007633591.09,0
1762353000000,2025-11-05,NFLX,108.50,110.08,107.34,109.85,35539000,3903817017.86,0
1762266600000,2025-11-04,NFLX,110.00,110.46,108.67,109.30,38718000,4231722435.84,0
1762180200000,2025-11-03,NFLX,113.32,113.35,107.51,110.01,58634000,6450267863.46,0
1761917400000,2025-10-31,NFLX,110.54,113.49,110.20,111.89,68665000,7682652298.97,0
1761831000000,2025-10-30,NFLX,109.44,110.62,108.81,108.90,41581000,4528170963.45,0
1761744600000,2025-10-29,NFLX,109.98,110.86,109.60,110.04,33995000,3740843807.45,0
1761658200000,2025-10-28,NFLX,109.40,111.70,109.30,110.25,40209000,4433042250.00,0
1761571800000,2025-10-27,NFLX,110.07,110.23,108.73,109.46,46911000,5134690476.13,0
1761312600000,2025-10-24,NFLX,111.10,111.45,109.44,109.47,60280000,6598791426.70,0
1761226200000,2025-10-23,NFLX,112.69,112.78,109.97,111.36,68497000,7627757502.43,0
1761139800000,2025-10-22,NFLX,114.29,115.76,111.25,111.64,147890000,16509996083.45,0
1761053400000,2025-10-21,NFLX,124.28,124.86,123.18,124.14,65082000,8078954209.03,0
1760967000000,2025-10-20,NFLX,120.79,124.78,120.69,123.86,39862000,4937147983.92,0
1760707800000,2025-10-17,NFLX,118.36,120.31,117.89,119.94,29571000,3546627367.56,0
1760621400000,2025-10-16,NFLX,121.21,121.67,117.60,118.36,28326000,3352637066.85,0
1760535000000,2025-10-15,NFLX,121.30,121.96,120.16,120.33,20252000,2436902956.21,0
1760448600000,2025-10-14,NFLX,121.47,122.43,120.31,121.54,23624000,2871142926.51,0
1760362200000,2025-10-13,NFLX,122.14,123.11,120.68,121.90,24608000,2999789021.00,0
1760103000000,2025-10-10,NFLX,122.90,124.70,121.91,122.01,42798000,5221698522.45,0
1760016600000,2025-10-09,NFLX,121.43,123.75,121.18,123.11,28241000,3476664850.78,0
1759930200000,2025-10-08,NFLX,119.71,121.74,119.20,121.43,28514000,3462312537.02,0
1759843800000,2025-10-07,NFLX,117.78,120.14,117.75,119.11,33091000,3941336738.91,0
1759757400000,2025-10-06,NFLX,116.04,116.36,114.54,116.33,29686000,3453402104.05,0
1759498200000,2025-10-03,NFLX,116.50,116.80,114.32,115.33,31374000,3618426190.98,0
1759411800000,2025-10-02,NFLX,116.15,116.33,113.40,116.25,46855000,5447034237.79,0
1759325400000,2025-10-01,NFLX,117.55,117.91,116.32,117.09,41102000,4812633029.48,0
1759239000000,2025-09-30,NFLX,120.64,120.85,117.80,119.89,38303000,4592223210.54,0
1759152600000,2025-09-29,NFLX,120.50,122.45,118.75,120.64,30332000,3659282776.82,0
1758893400000,2025-09-26,NFLX,120.54,121.40,120.00,121.06,19450000,2354636391.83,0
1758807000000,2025-09-25,NFLX,120.31,121.68,119.15,120.82,19978000,2413821822.01,0
1758720600000,2025-09-24,NFLX,121.86,122.15,119.42,120.39,27731000,3338673651.91,0
1758634200000,2025-09-23,NFLX,122.73,122.78,120.85,121.85,24991000,3045078380.05,0
1758547800000,2025-09-22,NFLX,122.19,122.98,121.42,122.74,25468000,3125865903.56,0
